human,hydra,type
SETMAR,t29629aep,one_one
SETMAR,t25760aep,one_one
SETMAR,t14737aep,one_one
SETMAR,t30798aep,one_one
SETMAR,t31404aep,one_one
SETMAR,t8082aep,one_one
SETMAR,t29961aep,one_one
SETMAR,t31889aep,one_one
SETMAR,t37806aep,one_one
SETMAR,t29146aep,one_one
TMEM175,t27777aep,one_one
TMEM175,t21243aep,one_one
TMEM175,t36771aep,one_one
TMEM175,t12785aep,one_one
TMEM175,t21803aep,one_one
TMEM175,t35853aep,one_one
TMEM175,t25464aep,one_one
TMEM175,t12786aep,one_one
TMEM175,t4489aep,one_one
TMEM175,t21139aep,one_one
TMEM175,t38648aep,one_one
TMEM175,t34164aep,one_one
TMEM175,t18333aep,one_one
TMEM175,t5012aep,one_one
TMEM175,t36430aep,one_one
TMEM175,t15564aep,one_one
TMEM175,t33820aep,one_one
TMEM175,t19381aep,one_one
TMEM175,t25581aep,one_one
TMEM175,t10861aep,one_one
TMEM175,t12889aep,one_one
TMEM175,t13768aep,one_one
TMEM175,t14159aep,one_one
TMEM175,t21668aep,one_one
GIN1,t5148aep,one_one
GIN1,t23421aep,one_one
GIN1,t34362aep,one_one
GIN1,t29784aep,one_one
GIN1,t960aep,one_one
GIN1,t38452aep,one_one
GIN1,t25651aep,one_one
GIN1,t25698aep,one_one
GIN1,t8562aep,one_one
GIN1,t25161aep,one_one
GIN1,t19046aep,one_one
GIN1,t15089aep,one_one
GIN1,t31516aep,one_one
GIN1,t25206aep,one_one
GIN1,t37857aep,one_one
GIN1,t31515aep,one_one
GIN1,t3858aep,one_one
GIN1,t35816aep,one_one
GIN1,t37329aep,one_one
GIN1,t27080aep,one_one
THAP12,t28119aep,one_one
THAP12,t34389aep,one_one
THAP12,t35223aep,one_one
THAP12,t32539aep,one_one
THAP12,t97aep,one_one
THAP12,t4706aep,one_one
THAP12,t34257aep,one_one
THAP12,t13902aep,one_one
THAP12,t4770aep,one_one
THAP12,t4771aep,one_one
THAP12,t11402aep,one_one
THAP12,t32024aep,one_one
THAP12,t27029aep,one_one
